Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Type	Tolerance	Voltage Rating	Package	Value
AI-1223-TWT-12V-R	"PUI Audio, Inc."	DK	668-1018-ND	"Buzzer, Magnetic, 12mm dia x 9.7mm, 12VDC"	Buzzer	*	12V	F/TMB	*
04025A330JAT2A	AVX	DK	478-1076-1-ND	"Capacitor, 33 pF, 50V, 5%, NP0, 0402"	Capacitor	5%	50V	402	33 pF
GRM216R71H103KA01D	Murata	DK	490-1664-1-ND	"Capacitor, 0.01 uF 50V, 10%, X7R, 0805"	Capacitor	10%	50V	805	0.01 uF
C1608X7R1H473K	TDK	NW	90R7721	"Capacitor, Ceramic, 0.047 uF 50V, 10%, 0603, X7R"	Capacitor	10%	50V	603	0.047 uF
LMK105BJ104KV-F	Taiyo Yuden	DK	587-1227-1-ND	"Capacitor, Ceramic Multilayer, 0.1 uF 10V, 10%, 0402"	Capacitor	10%	10V	402	0.1 uF
C1608X7R1E104K080AA	TDK	DK	445-1316-1-ND	"Capacitor, Ceramic, .1uF 25V 10% 0603 X7R"	Capacitor	10%	25V	603	0.1 uF
CGA3E2X7R1H222K080AA	TDK	DK	445-5660-1-ND	"Capacitor, Ceramic, 2.2nF 50V 10% 0603 X7R"	Capacitor	10%	50V	603	2.2nF
GRM21BR71H104KA01L	Murata	NW	38K1694	"Capacitor, Ceramic, 0.1 uF 50V, 10%, 0805, X7R"	Capacitor	10%	50V	805	0.1 uF
MC0603F105Z100CT	Multicomp	NW	06R5073	"Capacitor, Ceramic, 1 uF 10V, +80%/-20%, 0603, Y5V"	Capacitor	*	10V	603	1 uF
C1608X5R1C105K	TDK	NW	90R7675	"Capacitor, Ceramic, 1UF, 16V, X5R, 10%, 0603"	Capacitor	10%	16V	603	1 uF
GRM32RR71H105KA01L	Murata	NW	97K0677	"Capacitor, Ceramic, 1 uF, 50V, X7R, 10%, 1210"	Capacitor	10%	50V	1206	1 uF
CC1206KKX7R7BB105	Yageo	NW	68R4957	"Capacitor, Ceramic, 1 uF, 16V, X7R, 10%, 1206"	Capacitor	10%	16V	1206	1 uF
CC0402MRX7R7BB103	Yageo	NW	68R4679	"Capacitor, Ceramic, 0.01 uF, 16V, X7$, 20%, 0402"	Capacitor	20%	16V	402	10 nF
GRM188R60J106ME47D	Murata	NW	24R6334	"Capacitor, Ceramic, 10 uF 6.3V, 20%, 0603, X5R"	Capacitor	20%	6.3V	603	10 uF
GRM21BR61C106KE15L	Murata	NW	35R0687	"Capacitor, Ceramic, 10 uF 16V, 10%, X5R, 0805"	Capacitor	10%	16V	805	10 uF
LMK316F106ZL-T	Taiyo Yuden	NW	08P5178	"Capacitor, Ceramic, 10 uF, 10V, Y5V, +80%/-20%, 1206"	Capacitor	*	10V	1206	10 uF
GRM31CR6YA106KA12L	Murata	NW	72R4211	"Capacitor, Ceramic, 10UF, 35V, X5R, 10%, 1206"	Capacitor	10%	35V	1206	10 uF
T491A106M020AT	Kemet	DK	399-5152-1-ND	"Capacitor, Tantalum, 10uF 20V ,CT3216"	Capacitor	*	20V	CT3216	10 uF
C4532Y5V1A107Z	TDK	NW	90R7861	"Capacitor, Ceramic, 100 uF 10V, +80%/-20%, 1812, Y5V"	Capacitor	*	10V	1812	100 uF
107CKE035M	Illinois Capacitor	NW	69K7903	"Capacitor, Alum elec, 100 uF 35V, 20%, Radial 6.3mm Dia"	Capacitor	20%	35V	"E2,5-7"	100 uF
